window,value,percentile,total_count
118,255,100.0,193
119,2,0.0,630
119,3,50.0,630
119,127,90.0,186
119,255,99.0,94
119,255,99.9,94
119,255,99.99,94
119,255,99.999,94
119,255,100.0,94
120,0,0.0,0
120,0,50.0,0
120,0,90.0,0
120,0,99.0,0
120,0,99.9,0
120,0,99.99,0
120,0,99.999,0
120,0,100.0,0
121,0,0.0,0
121,0,50.0,0
121,0,90.0,0
121,0,99.0,0
121,0,99.9,0
121,0,99.99,0
121,0,99.999,0
121,0,100.0,0
122,0,0.0,0
122,0,50.0,0
122,0,90.0,0
122,0,99.0,0
122,0,99.9,0
122,0,99.99,0
122,0,99.999,0
122,0,100.0,0
123,0,0.0,0
123,0,50.0,0
123,0,90.0,0
123,0,99.0,0
123,0,99.9,0
123,0,99.99,0
123,0,99.999,0
123,0,100.0,0
124,0,0.0,0
124,0,50.0,0
124,0,90.0,0
124,0,99.0,0
124,0,99.9,0
124,0,99.99,0
124,0,99.999,0
124,0,100.0,0
125,0,0.0,0
125,0,50.0,0
125,0,90.0,0
125,0,99.0,0
125,0,99.9,0
125,0,99.99,0
125,0,99.999,0
125,0,100.0,0
126,0,0.0,0
126,0,50.0,0
126,0,90.0,0
126,0,99.0,0
126,0,99.9,0
126,0,99.99,0
126,0,99.999,0
126,0,100.0,0
127,0,0.0,0
127,0,50.0,0
127,0,90.0,0
127,0,99.0,0
127,0,99.9,0
127,0,99.99,0
127,0,99.999,0
127,0,100.0,0
128,0,0.0,0
128,0,50.0,0
128,0,90.0,0
128,0,99.0,0
128,0,99.9,0
128,0,99.99,0
128,0,99.999,0
128,0,100.0,0
129,0,0.0,0
129,0,50.0,0
129,0,90.0,0
129,0,99.0,0
129,0,99.9,0
129,0,99.99,0
129,0,99.999,0
129,0,100.0,0
130,0,0.0,0
130,0,50.0,0
130,0,90.0,0
130,0,99.0,0
130,0,99.9,0
130,0,99.99,0
130,0,99.999,0
130,0,100.0,0
131,0,0.0,0
131,0,50.0,0
131,0,90.0,0
131,0,99.0,0
131,0,99.9,0
131,0,99.99,0
131,0,99.999,0
131,0,100.0,0
132,0,0.0,0
132,0,50.0,0
132,0,90.0,0
132,0,99.0,0
132,0,99.9,0
132,0,99.99,0
132,0,99.999,0
132,0,100.0,0
133,0,0.0,0
133,0,50.0,0
