window,value,percentile,total_count
107,127,99.9,188
107,127,99.99,188
107,127,99.999,188
107,127,100.0,188
108,1,0.0,35
108,3,50.0,523
108,127,90.0,148
108,127,99.0,148
108,127,99.9,148
108,127,99.99,148
108,127,99.999,148
108,127,100.0,148
109,2,0.0,28
109,15,50.0,275
109,127,90.0,263
109,127,99.0,263
109,127,99.9,263
109,127,99.99,263
109,127,99.999,263
109,127,100.0,263
110,2,0.0,123
110,7,50.0,437
110,127,90.0,164
110,127,99.0,164
110,127,99.9,164
110,127,99.99,164
110,127,99.999,164
110,127,100.0,164
111,1,0.0,75
111,7,50.0,445
111,63,90.0,274
111,255,99.0,66
111,255,99.9,66
111,255,99.99,66
111,255,99.999,66
111,255,100.0,66
112,2,0.0,315
112,15,50.0,276
112,127,90.0,238
112,127,99.0,238
112,127,99.9,238
112,127,99.99,238
112,127,99.999,238
112,127,100.0,238
113,2,0.0,511
113,3,50.0,511
113,127,90.0,138
113,127,99.0,138
113,127,99.9,138
113,127,99.99,138
113,127,99.999,138
113,127,100.0,138
114,1,0.0,52
114,3,50.0,633
114,63,90.0,274
114,127,99.0,40
114,127,99.9,40
114,127,99.99,40
114,127,99.999,40
114,127,100.0,40
115,1,0.0,171
115,15,50.0,112
115,127,90.0,214
115,127,99.0,214
115,127,99.9,214
115,127,99.99,214
115,127,99.999,214
115,127,100.0,214
116,4,0.0,495
116,15,50.0,117
116,127,90.0,388
116,127,99.0,388
116,127,99.9,388
116,127,99.99,388
116,127,99.999,388
116,127,100.0,388
117,2,0.0,333
117,7,50.0,379
117,31,90.0,275
117,127,99.0,13
117,127,99.9,13
117,127,99.99,13
117,127,99.999,13
117,127,100.0,13
118,4,0.0,537
118,7,50.0,537
118,127,90.0,189
118,127,99.0,189
118,127,99.9,189
118,127,99.99,189
118,127,99.999,189
118,127,100.0,189
119,2,0.0,307
119,7,50.0,605
119,7,90.0,605
119,63,99.0,88
119,63,99.9,88
119,63,99.99,88
119,63,99.999,88
119,63,100.0,88
120,0,0.0,0
120,0,50.0,0
